#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
215,Falkland Islands,"1,126",, ,,N/A,N/A,N/A,,"306,979",,"8,632","2,353,326"
216,Montserrat,747,,2 ,,390,,355,,"149,460",400,"11,238","2,248,499"
217,Diamond Princess,712,,13 ,,699,,0,,,,,
218,Wallis and Futuna,454,,7 ,,438,,9,,"41,751",644,"20,508","1,885,967"
219,Macao,82,, ,,82,,0,,123,,"5,375","8,073"
220,Vatican City,29,, ,,29,,0,,"36,025",,,
221,Marshall Islands,17,, ,,14,,3,,284,,,
222,Western Sahara,10,,1 ,,9,,0,,16,2,,
223,MS Zaandam,9,,2 ,,7,,0,,,,,
224,Niue,9,, ,,9,+1,0,,"5,468",,,
225,Micronesia,7,, ,,1,,6,,60,,,
226,Nauru,7,, ,,4,,3,,639,,,
227,Saint Helena,2,, ,,2,,0,,327,,,
228,China,"221,289",+331,"5,205 ",+2,"209,140",+614,"6,944",397,154,4,"160,000,000","111,163"
